DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/03/2018,11:15,QUEENS,11435,40.701775,-73.80794,"(40.701775, -73.80794)",JAMAICA AVENUE                  ,SUTPHIN BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3874445,SPORT UTILITY / STATION WAGON,VAN,,,
04/03/2018,11:20,MANHATTAN,10032,40.840565,-73.9367,"(40.840565, -73.9367)",,,500       WEST 169 STREET               ,0,0,0,0,0,0,0,0,Unspecified,,,,,3874975,PASSENGER VEHICLE,,,,
04/03/2018,11:20,MANHATTAN,10075,40.77564,-73.96263,"(40.77564, -73.96263)",EAST 78 STREET                  ,MADISON AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3874694,PASSENGER VEHICLE,VN,,,
04/03/2018,11:21,BRONX,10465,40.831,-73.82652,"(40.831, -73.82652)",EAST TREMONT AVENUE             ,BARKLEY AVENUE,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3874680,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/03/2018,11:22,,,40.770256,-73.91586,"(40.770256, -73.91586)",33 STREET                       ,ASTORIA BOULEVARD,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,3875366,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/03/2018,11:25,,,,,,BEACH CHANNEL DRIVE             ,RIIS PARK,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3877082,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/03/2018,11:30,,,40.682846,-73.95382,"(40.682846, -73.95382)",BEDFORD AVENUE                  ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3874660,SPORT UTILITY / STATION WAGON,FB,,,
04/03/2018,11:30,,,40.593163,-73.9086,"(40.593163, -73.9086)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3874644,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/03/2018,11:30,,,40.651276,-73.94003,"(40.651276, -73.94003)",EAST 40 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Following Too Closely,,,,3874418,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/03/2018,11:31,BROOKLYN,11226,40.646744,-73.95269,"(40.646744, -73.95269)",TILDEN AVENUE                   ,VERONICA PLACE,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Unspecified,,,,3874419,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/03/2018,11:35,BROOKLYN,11234,40.62153,-73.93573,"(40.62153, -73.93573)",,,1978      FLATBUSH AVENUE               ,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,,,,,3874802,PASSENGER VEHICLE,,,,
04/03/2018,11:35,BROOKLYN,11235,40.59018,-73.96058,"(40.59018, -73.96058)",DUNNE COURT                     ,CONEY ISLAND AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3874988,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/03/2018,11:35,,,40.731064,-74.00801,"(40.731064, -74.00801)",MORTON STREET                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3874937,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/03/2018,11:35,BROOKLYN,11216,40.67991,-73.94086,"(40.67991, -73.94086)",,,1500      FULTON STREET                 ,1,0,1,0,0,0,0,0,Unspecified,,,,,3874695,TAXI,,,,
04/03/2018,11:35,,,40.703857,-73.91851,"(40.703857, -73.91851)",STOCKHOLM STREET                ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,3874512,PASSENGER VEHICLE,,,,
04/03/2018,11:38,QUEENS,11435,40.705524,-73.810455,"(40.705524, -73.810455)",,,146-02    HILLSIDE AVENUE               ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3874440,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/03/2018,11:39,BROOKLYN,11207,40.655148,-73.888054,"(40.655148, -73.888054)",,,945       PENNSYLVANIA AVENUE           ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3874894,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/03/2018,11:40,BRONX,10461,40.85227,-73.82854,"(40.85227, -73.82854)",WESTCHESTER AVENUE              ,SAINT PAUL AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3875668,SPORT UTILITY / STATION WAGON,,,,
04/03/2018,11:40,,,40.640553,-74.0043,"(40.640553, -74.0043)",51 STREET                       ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3875135,BU,BU,,,
04/03/2018,11:40,,,40.829178,-73.83995,"(40.829178, -73.83995)",CROSS BRONX EXPY                ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3874733,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/03/2018,11:40,,,40.749172,-73.967026,"(40.749172, -73.967026)",FDR DRIVE                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3874877,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
